epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.417,1.57806,1.94293,1.71704,0.8312,0.86486,0.92231,0.56775,1.26222,1.33332,1.38698,0.00016,0.00016,0.00016
2,505.33,1.35292,1.47834,1.43452,0.60349,0.82284,0.7841,0.47598,1.37618,4.47394,1.45485,0.000336634,0.000336634,0.000336634
3,738.767,1.34134,1.43328,1.47842,0.23871,0.40541,0.21708,0.08393,1.70465,4.94669,2.07741,0.000509704,0.000509704,0.000509704
4,979.27,1.50228,1.53946,1.6582,0.03843,0.59459,0.04174,0.01599,1.86753,69.1536,2.32238,0.00067921,0.00067921,0.00067921
5,1218.83,1.46455,1.59452,1.62511,0.05195,0.32432,0.03435,0.01156,2.3536,168.437,4.80651,0.000845152,0.000845152,0.000845152
6,1459.73,1.51888,1.47631,1.62801,0.18291,0.21622,0.08476,0.02353,2.73075,5.69032,3.69892,0.00100753,0.00100753,0.00100753
7,1702.01,1.44626,1.45385,1.63353,0.04727,0.40541,0.03361,0.01379,2.52891,19.005,3.18497,0.00116634,0.00116634,0.00116634
8,1946.8,1.68574,1.71753,1.8137,0.05494,0.18919,0.03605,0.01117,3.30636,25.5959,4.55554,0.00132159,0.00132159,0.00132159
9,2190.89,1.55445,1.65903,1.67341,0.00124,0.18919,0.00067,0.00017,4.409,2631.51,31.3953,0.00147328,0.00147328,0.00147328
10,2431.25,1.55646,1.58573,1.6791,0.00244,0.51351,0.00221,0.00062,3.38876,27951.1,134.167,0.0016214,0.0016214,0.0016214
11,2675.21,1.56858,1.4819,1.69336,0.00256,0.54054,0.0027,0.00066,3.80633,21990.7,120.396,0.00176596,0.00176596,0.00176596
12,2921.18,1.72318,1.74242,1.86498,0.00405,0.10811,0.00223,0.00072,4.08411,1117.13,30.0534,0.0017822,0.0017822,0.0017822
13,3174.34,1.55949,1.71946,1.75916,0.01301,0.54054,0.01285,0.00462,2.46647,222.494,5.29076,0.0017624,0.0017624,0.0017624
14,3426.99,1.6905,1.67297,1.81757,0.0067,0.37838,0.00591,0.00138,3.23859,377.178,9.21932,0.0017426,0.0017426,0.0017426
15,3675,1.46831,1.50212,1.65246,0.00412,0.24324,0.00257,0.00084,4.02281,1016,28.5371,0.0017228,0.0017228,0.0017228
16,4852.04,1.50637,1.4254,1.69001,0.01064,0.48649,0.00991,0.00335,2.69894,107.52,4.39926,0.001703,0.001703,0.001703
17,5094.67,1.51104,1.39213,1.70262,0.00663,0.40541,0.00514,0.00198,2.89832,159.287,5.50185,0.0016832,0.0016832,0.0016832
18,5328.71,1.41762,1.29167,1.62597,0.00434,0.51351,0.00387,0.00136,3.05849,811.28,8.69937,0.0016634,0.0016634,0.0016634
19,7879.29,1.43977,1.28643,1.59273,0.04941,0.13514,0.02167,0.00788,3.05024,17.6211,3.8367,0.0016436,0.0016436,0.0016436
20,8110.96,1.46687,1.20942,1.6649,0.16255,0.2973,0.12123,0.06138,2.066,5.36792,2.72267,0.0016238,0.0016238,0.0016238
21,8340.85,1.37589,1.32717,1.57464,0.57208,0.39768,0.47179,0.18887,1.77117,4.13553,2.14477,0.001604,0.001604,0.001604
22,8575.16,1.52148,1.26485,1.61122,0.35569,0.40541,0.27202,0.08925,1.94624,4.81903,2.52531,0.0015842,0.0015842,0.0015842
23,8818.25,1.38549,1.25427,1.5824,0.33875,0.35135,0.2698,0.10451,1.96751,4.64154,2.71961,0.0015644,0.0015644,0.0015644
24,9065.45,1.38204,1.17842,1.49883,0.60747,0.51351,0.49709,0.21969,2.02541,2.66434,2.63694,0.0015446,0.0015446,0.0015446
25,9315.6,1.38853,1.16127,1.53709,0.51833,0.54054,0.52576,0.22117,1.83116,2.54987,2.25134,0.0015248,0.0015248,0.0015248
26,9565.62,1.32619,1.11015,1.47669,0.75954,0.43243,0.51821,0.23375,1.97969,2.55996,2.5132,0.001505,0.001505,0.001505
27,9831.63,1.41882,1.17174,1.57506,0.64906,0.51351,0.57702,0.2993,1.86172,1.94561,2.23058,0.0014852,0.0014852,0.0014852
28,10093.5,1.34959,1.07365,1.51678,0.73174,0.54054,0.6141,0.31077,1.76497,2.19696,2.14081,0.0014654,0.0014654,0.0014654
29,10347.8,1.29431,1.10157,1.47521,0.72121,0.55952,0.62952,0.3264,1.63682,1.5872,1.95803,0.0014456,0.0014456,0.0014456
30,10596.5,1.26803,1.03827,1.4581,0.60617,0.67568,0.62148,0.29136,1.92237,1.46141,2.17221,0.0014258,0.0014258,0.0014258
31,10843.2,1.22367,1.09245,1.45303,0.82139,0.62148,0.70171,0.3783,1.62378,1.54958,1.92449,0.001406,0.001406,0.001406
32,11090.4,1.25253,1.01284,1.39364,0.72273,0.5637,0.68833,0.36826,1.59563,1.67492,1.97853,0.0013862,0.0013862,0.0013862
33,11341.5,1.24649,0.98017,1.41455,0.86821,0.54054,0.69556,0.39251,1.54597,1.51526,1.82692,0.0013664,0.0013664,0.0013664
34,11599.6,1.24576,1.04105,1.4196,0.6763,0.75676,0.72521,0.36768,1.6053,1.52254,1.91408,0.0013466,0.0013466,0.0013466
35,11868.3,1.21444,0.99174,1.38288,0.93406,0.67568,0.77567,0.42357,1.49948,1.47143,1.85925,0.0013268,0.0013268,0.0013268
36,12120.6,1.1669,0.89065,1.3911,0.76061,0.72973,0.72452,0.418,1.42037,1.87953,1.81426,0.001307,0.001307,0.001307
37,12373.4,1.17641,0.96342,1.40739,0.75141,0.65368,0.68394,0.36925,1.56467,1.875,1.98132,0.0012872,0.0012872,0.0012872
38,12625.4,1.13933,0.87876,1.37796,0.59932,0.72769,0.64939,0.38218,1.63577,1.78253,1.89713,0.0012674,0.0012674,0.0012674
39,12879.3,1.23252,0.98541,1.47807,0.76244,0.60743,0.67029,0.41114,1.50435,1.46192,1.7413,0.0012476,0.0012476,0.0012476
40,13132.1,1.12622,0.91864,1.36194,0.70573,0.62162,0.65731,0.37948,1.57731,1.5063,1.81431,0.0012278,0.0012278,0.0012278
41,13386.7,1.22696,1.0492,1.45478,0.66523,0.51351,0.54265,0.29885,1.78808,1.89227,1.91745,0.001208,0.001208,0.001208
42,13672,1.18072,0.99173,1.38294,0.79217,0.67568,0.65855,0.39097,1.64157,1.48983,1.96379,0.0011882,0.0011882,0.0011882
43,13990.2,1.0559,0.86662,1.3334,0.77919,0.67568,0.71847,0.39795,1.60796,1.48634,2.00274,0.0011684,0.0011684,0.0011684
44,14314.6,1.05206,0.86997,1.31392,0.85401,0.64865,0.76988,0.42871,1.51631,1.27099,1.85646,0.0011486,0.0011486,0.0011486
45,14647.3,1.10856,0.82865,1.37304,0.87232,0.72973,0.848,0.5204,1.36922,1.07408,1.72804,0.0011288,0.0011288,0.0011288
46,14920.2,1.07276,0.8093,1.29775,0.88987,0.72973,0.84582,0.54278,1.26725,1.13495,1.55431,0.001109,0.001109,0.001109
47,15197.6,1.09345,0.83289,1.3481,0.82627,0.77143,0.82942,0.53064,1.24732,1.14987,1.56678,0.0010892,0.0010892,0.0010892
48,15506.2,1.0287,0.81596,1.27738,0.89181,0.66854,0.79869,0.52352,1.31688,1.10456,1.73135,0.0010694,0.0010694,0.0010694
49,15765.6,0.98112,0.75563,1.26559,0.899,0.75676,0.835,0.53489,1.37151,1.05937,1.76418,0.0010496,0.0010496,0.0010496
50,16032.1,0.96437,0.8365,1.28034,0.9809,0.7027,0.80269,0.52841,1.3744,1.1685,1.72721,0.0010298,0.0010298,0.0010298
51,16279.5,0.94527,0.68559,1.25357,0.89777,0.7027,0.78651,0.49704,1.45216,1.29453,1.80643,0.00101,0.00101,0.00101
